"No.","Time","Source","Destination","Protocol","Length","Info"
"32924","98.851598","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2804:49c:3101:405:ffff:ffff:ffff:20","HTTP","427","GET /8f/2022/03/09/gb-porteira-layout-3---mobile-1646813072500_640x464.png HTTP/1.1 "
"32928","98.854103","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2804:49c:3101:405:ffff:ffff:ffff:20","HTTP","429","GET /da/2022/03/09/gb-porteira-layout-2---desktop-1646813098408_1428x464.png HTTP/1.1 "
"33005","98.909415","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","[TCP Previous segment not captured] Continuation"
"33006","98.909415","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","Continuation"
"33007","98.909415","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","[TCP Previous segment not captured] Continuation"
"33008","98.909415","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","Continuation"
"33078","98.960635","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","[TCP Previous segment not captured] Continuation"
"33079","98.960635","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","Continuation"
"34131","99.842242","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","Continuation"
"34229","99.896649","2804:49c:3101:405:ffff:ffff:ffff:20","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","1514","Continuation"
"40069","116.153660","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2600:9000:238e:2800:10:3798:4a80:93a1","HTTP","476","GET /c/entretenimento/32/2023/02/06/backgorund-newsletter-cardapios-para-emagrecer-1675716335650_v2_355x278.png HTTP/1.1 "
"40072","116.154121","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2600:9000:238e:2800:10:3798:4a80:93a1","HTTP","484","GET /c/entretenimento/b4/2023/02/06/background-newsletter-cardapios-para-emagrecer-desktop-1675716711804_v2_870x160.png HTTP/1.1 "
"40079","116.158919","2600:9000:238e:2800:10:3798:4a80:93a1","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","752","HTTP/1.1 301 Moved Permanently  (text/html)"
"40083","116.163488","2600:9000:238e:2800:10:3798:4a80:93a1","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","760","HTTP/1.1 301 Moved Permanently  (text/html)"
"54501","131.450700","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2606:2800:11f:85d:13e0:11e9:1a6:201d","HTTP","361","GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?31366b05e216dc2c HTTP/1.1 "
"54508","131.527233","2606:2800:11f:85d:13e0:11e9:1a6:201d","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","364","HTTP/1.1 304 Not Modified "
"54526","131.616332","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2600:1419:cc00:38a::21cc","HTTP","301","GET / HTTP/1.1 "
"54528","131.636098","2600:1419:cc00:38a::21cc","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","337","HTTP/1.1 304 Not Modified "
"54544","131.711922","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2606:2800:11f:85d:13e0:11e9:1a6:201d","HTTP","356","GET /msdownload/update/v3/static/trustedr/en/authrootstl.cab?11af0474454f9ea8 HTTP/1.1 "
"54554","131.800629","2606:2800:11f:85d:13e0:11e9:1a6:201d","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","364","HTTP/1.1 304 Not Modified "
"67976","179.080441","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","2804:29b8:1001::b125:dd08","HTTP","460","GET /roots/dstrootcax3.p7c HTTP/1.1 "
"67997","179.096462","2804:29b8:1001::b125:dd08","2804:29b8:5169:1f2e:f8c0:3da0:37f:c96f","HTTP","344","HTTP/1.1 304 Not Modified "
