"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.14","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"2","0.009797","192.168.0.5","192.168.0.14","UDP","453","56725  >  57720 Len=411"
"3","0.226695","192.168.0.14","20.94.21.149","TCP","55","58572  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]"
"4","0.292665","34.130.135.16","192.168.0.14","TCP","56","443  >  58906 [ACK] Seq=1 Ack=1 Win=501 Len=0"
"5","0.292693","192.168.0.14","34.130.135.16","TCP","54","[TCP ACKed unseen segment] 58906  >  443 [ACK] Seq=1 Ack=2 Win=512 Len=0"
"6","0.414112","20.94.21.149","192.168.0.14","TCP","68","443  >  58572 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"7","0.564147","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.4? Tell 192.168.0.1"
"8","0.666644","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.15? Tell 192.168.0.1"
"9","0.769159","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.8? Tell 192.168.0.1"
"10","0.872271","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.2? Tell 192.168.0.1"
"11","0.973512","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.14? Tell 192.168.0.1"
"12","0.973527","HonHaiPr_c1:aa:7d","TP-Link_18:42:d3","ARP","42","192.168.0.14 is at 40:b8:9a:c1:aa:7d"
"13","1.003556","192.168.0.14","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"14","1.034783","192.168.0.5","192.168.0.14","UDP","453","45591  >  57720 Len=411"
"15","1.075927","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.5? Tell 192.168.0.1"
"16","1.080612","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4003:c00::bc","TCP","75","54877  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"17","1.182917","2800:3f0:4003:c00::bc","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TCP","86","443  >  54877 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"18","1.682926","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","981","54970  >  443 Len=919"
"19","1.685008","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","717","54970  >  443 Len=655"
"20","1.697321","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","1286","54970  >  443 Len=1224"
"21","1.697452","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","1270","54970  >  443 Len=1208"
"22","1.702230","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","272","55710  >  443 Len=210"
"23","1.702843","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","272","55710  >  443 Len=210"
"24","1.703084","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","273","55710  >  443 Len=211"
"25","1.703844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","273","55710  >  443 Len=211"
"26","1.704061","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","273","55710  >  443 Len=211"
"27","1.704209","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","274","55710  >  443 Len=212"
"28","1.705523","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","273","55710  >  443 Len=211"
"29","1.705738","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","273","55710  >  443 Len=211"
"30","1.705942","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","273","55710  >  443 Len=211"
"31","1.706365","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","342","54970  >  443 Len=280"
"32","1.732373","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","89","443  >  54970 Len=27"
"33","1.738404","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","89","443  >  54970 Len=27"
"34","1.738589","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"35","1.747314","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","89","443  >  54970 Len=27"
"36","1.761474","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","89","443  >  55710 Len=27"
"37","1.761474","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"38","1.762904","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","90","443  >  55710 Len=28"
"39","1.762904","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","90","443  >  55710 Len=28"
"40","1.762904","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","89","443  >  54970 Len=27"
"41","1.762904","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","86","443  >  55710 Len=24"
"42","1.763362","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","94","55710  >  443 Len=32"
"43","1.763854","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:821::200e","UDP","93","54970  >  443 Len=31"
"44","1.764522","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","94","443  >  55710 Len=32"
"45","1.764742","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","94","55710  >  443 Len=32"
"46","1.765755","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","641","443  >  55710 Len=579"
"47","1.765755","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"48","1.765967","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","98","55710  >  443 Len=36"
"49","1.770689","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","571","443  >  55710 Len=509"
"50","1.770860","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","98","55710  >  443 Len=36"
"51","1.771512","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
"52","1.786649","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","100","55710  >  443 Len=38"
"53","1.786779","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2001:4860:4860::8844","UDP","99","55710  >  443 Len=37"
"54","1.788060","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","1292","Initial, DCID=3c4e8b4a86d13764, PKN: 1, PING, PADDING, PING, PING, PADDING, CRYPTO, PADDING, PING"
"55","1.788370","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:808::2016","QUIC","140","0-RTT, DCID=3c4e8b4a86d13764"
"56","1.802567","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","128","443  >  54970 Len=66"
"57","1.802671","2800:3f0:4001:821::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","83","443  >  54970 Len=21"
"58","1.802756","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","592","443  >  55710 Len=530"
"59","1.802756","2001:4860:4860::8844","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","85","443  >  55710 Len=23"
