"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","fe80::ea48:b8ff:fe18:42d3","ff02::1","ICMPv6","150","Router Advertisement from e8:48:b8:18:42:d3"
"2","0.777594","192.168.0.14","20.94.21.149","TCP","55","58572  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]"
"3","0.942611","20.94.21.149","192.168.0.14","TCP","68","443  >  58572 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"4","1.131840","192.168.0.5","239.255.255.250","UDP","77","34855  >  15600 Len=35"
"5","2.037847","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4003:c00::bc","TCP","75","54877  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"6","2.144403","2800:3f0:4003:c00::bc","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TCP","86","443  >  54877 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"7","2.252325","192.168.0.1","224.0.0.1","IGMPv3","50","Membership Query, general"
"8","2.868047","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","1054","63671  >  443 Len=992"
"9","2.870794","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","780","63671  >  443 Len=718"
"10","2.912999","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","1285","63671  >  443 Len=1223"
"11","2.913120","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","1292","63671  >  443 Len=1230"
"12","2.913173","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","1292","63671  >  443 Len=1230"
"13","2.913223","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:820::200e","UDP","405","63671  >  443 Len=343"
"14","2.920777","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","1292","Initial, DCID=6575e53a00fd71ff, PKN: 1, CRYPTO, PADDING, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"15","2.921288","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82b::2016","QUIC","140","0-RTT, DCID=6575e53a00fd71ff"
"16","2.922658","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:832::200a","QUIC","1292","Initial, DCID=b27cac3b1b977e43, PKN: 1, PING, PADDING, CRYPTO, PING, PING, PING, CRYPTO, PING, PADDING, PING, PING, PADDING, PING, CRYPTO, PADDING"
"17","2.923155","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:832::200a","QUIC","137","0-RTT, DCID=b27cac3b1b977e43"
