"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2800:3f0:4001:81e::200e","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","UDP","88","443  >  54081 Len=26"
"2","0.343602","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.8? Tell 192.168.0.1"
"3","0.476653","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82d::2004","TCP","75","56904  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU]"
"4","0.491690","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:82c::2003","TCP","75","56903  >  443 [ACK] Seq=1 Ack=1 Win=8332 Len=1 [TCP segment of a reassembled PDU]"
"5","0.526805","2800:3f0:4001:82d::2004","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TCP","86","443  >  56904 [ACK] Seq=1 Ack=2 Win=268 Len=0 SLE=1 SRE=2"
"6","0.542063","2800:3f0:4001:82c::2003","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TCP","86","443  >  56903 [ACK] Seq=1 Ack=2 Win=273 Len=0 SLE=1 SRE=2"
"7","0.787493","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:829::2001","TCP","75","56900  >  443 [ACK] Seq=1 Ack=1 Win=516 Len=1 [TCP segment of a reassembled PDU]"
"8","0.837707","2800:3f0:4001:829::2001","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","TCP","86","443  >  56900 [ACK] Seq=1 Ack=2 Win=294 Len=0 SLE=1 SRE=2"
"9","1.364280","TP-Link_18:42:d3","Broadcast","ARP","42","Who has 192.168.0.8? Tell 192.168.0.1"
"10","1.655260","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:81e::200e","UDP","987","54081  >  443 Len=925"
"11","1.657121","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:81e::200e","UDP","717","54081  >  443 Len=655"
"12","1.705183","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:81e::200e","UDP","1285","54081  >  443 Len=1223"
"13","1.705310","2804:29b8:5169:1f2e:281c:b2b2:90db:613e","2800:3f0:4001:81e::200e","UDP","1292","54081  >  443 Len=1230"
